library_Name_AODocs,storage_Admin_AODocs,root_Folder_Id_GSD,library_Id_AODocs,folder_Type,attachment_Mode,permission_Mode,notify_UsersAboutPushToMyDrive,only_AdminsCanManageFolders,only_AdminsCanEditRootFolder,days_BeforeDelete,time_Zone
"1. Asset Mgt Original (Ex TRIM, created pre 09/16)",aodocs_asset_management@snowyhydro.com.au,0B3Cp6GQ03bFla25ObXUzM05wRmM,Pi6VQAw4szhUcyHGpy,DML,COMPOSITE,LOW_SECURITY_PRISON,True,False,False,500,UTC
2. Asset Mgt Other Classes (Created from 09/16),aodocs_asset_management_i@snowyhydro.com.au,0BxeAl3UTUecJb2F2YjZ5R29rTm8,Pu5DR2x6C1SasBULr8,DML,COMPOSITE,LOW_SECURITY_PRISON,True,False,False,500,Australia/Sydney
3. Asset Mgt Technical (Created from 09/16),aodocs_asset_management_iii@snowyhydro.com.au,0BwH18xoy73I5QktveGRJWUluZ2c,PtwsrnX2Sis0TpQPnB,DML,COMPOSITE,LOW_SECURITY_PRISON,True,False,False,999,UTC
AMT SCADA and GMS,aodocs_snowy_hydro_001@snowyhydro.com.au,0Bw2v4RvL8EP6bHBKUGl1cGtRNVk,PypXsbk09r3Dd6ZGks,SF,GOOGLE_DRIVE,LOW_SECURITY_PRISON,False,True,False,500,UTC
Asset Management Archive,aodocs_asset_management_archive@snowyhydro.com.au,0B90-x8sfgUf-YVpGYWNkeFVqU0k,PfUKulH1iHAPb7CHb9,DML,COMPOSITE,LOW_SECURITY_PRISON,True,False,False,500,Australia/Sydney
Asset Mgt Historic Visuals 1949 - 1974,aodocs_asset_management_archive@snowyhydro.com.au,1CKxPT_17DbOsSAAkjqlG5BvPf0jkbDer,QjVKIDJ9QMB2NchFx7,DML,COMPOSITE,CLUB_MED,True,False,False,500,Australia/Sydney
Board Administration,aodocs_board_administration@snowyhydro.com.au,0B2Xmh06TvCQrdFFUdU50eWJfNFE,Pez7tlv0WUIwAJUUFj,DML,COMPOSITE,LOW_SECURITY_PRISON,True,False,False,500,UTC
COR Sydney Reception,aodocs_snowy_hydro_001@snowyhydro.com.au,0Bw2v4RvL8EP6NDUzVjY2bHpXWVE,PtX0XXHySg5sflAdvp,SF,GOOGLE_DRIVE,LOW_SECURITY_PRISON,False,True,False,180,UTC
Education Resources,aodocs_asset_management_ii@snowyhydro.com.au,0B_7E6QIm19YIbnBfU280cjdCcnM,QQSQSjOxQs9pMHDmdO,SF,GOOGLE_DRIVE,CLUB_MED,True,False,False,500,UTC
Emergency and Crisis Management,aodocs_asset_management_ii@snowyhydro.com.au,1k9ydrdQK3zzMS5L9wnbWnTEnO3ezcIXT,S3Lb5MpuptWYN5BtGj,SF,GOOGLE_DRIVE,CLUB_MED,True,False,False,30,UTC
Emergency and Crisis management team,aodocs_asset_management_ii@snowyhydro.com.au,1PmzrKKCD3QmT9rGWl0Sep8X4gzmkT9mc,S3TMBubwPI8gUz4QO9,TF,DRIVE_CONTROLLED,CLUB_MED,False,False,False,36500,UTC
Environmental Management,aodocs_environmental_management@snowyhydro.com.au,0B_zRNFckmd9uT2JZbDZieUpjcWM,Pb8Di2MtQKmjybnXHo,DML,COMPOSITE,LOW_SECURITY_PRISON,True,False,False,500,UTC
FIN Accounting,aodocs_asset_management_ii@snowyhydro.com.au,149hTM_H7TlqYR6fnNxeFQ_byQgPV2G5d,R2q8CFxA7dQS6wgIzf,SF,GOOGLE_DRIVE,CLUB_MED,False,False,False,500,UTC
FIN Payroll,aodocs_asset_management_ii@snowyhydro.com.au,1p9Be8QCByfGkxpN8cAhZLcTvw2NCcv4h,RJu4ZDa6G37dhzs86a,SF,GOOGLE_DRIVE,CLUB_MED,True,False,False,30,UTC
FIN Taxation,aodocs_asset_management_ii@snowyhydro.com.au,1iJfpYHl7mjw3HDbyV_b7vICWySHnnvw3,R2GMmUDugaSErdeDGX,SF,GOOGLE_DRIVE,CLUB_MED,True,False,False,30,UTC
FIN Treasury,aodocs_snowy_hydro_001@snowyhydro.com.au,0Bw2v4RvL8EP6N3pfMUctOXVRNjg,PtWwdCY4KYdHABasL2,SF,GOOGLE_DRIVE,LOW_SECURITY_PRISON,False,True,False,500,UTC
Financial Management,aodocs_financial_management@snowyhydro.com.au,0B4avrEFuoC3kSHlVMDNkaVNTR0U,PaD2ruMtQaqYJnS57c,DML,COMPOSITE,LOW_SECURITY_PRISON,True,False,False,500,UTC
