pwp_key,pwp_className,pwp_WorkflowName,pwp_WFStateName,pwp_displayName,pwp_libraryId1,pwp_type1,pwp_role1,pwp_value1,pwp_libraryId2,pwp_type2,pwp_role2,pwp_value2,pwp_equal_perms
Mobile Plant & VehiclesMobile Plant and VehiclesIdleReaders,Mobile Plant & Vehicles,Mobile Plant and Vehicles,Idle,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,Pi6VQAw4szhUcyHGpy,ROLE,READER,READERS,True
Mobile Plant & VehiclesMobile Plant and VehiclesIdleAO Generation Support Service,Mobile Plant & Vehicles,Mobile Plant and Vehicles,Idle,AO Generation Support Service,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-opssupport@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-opssupport@snowyhydro.com.au,True
Mobile Plant & VehiclesMobile Plant and VehiclesConfidentialAO Logistics Confidential,Mobile Plant & Vehicles,Mobile Plant and Vehicles,Confidential,AO Logistics Confidential,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-logconfidential@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-logconfidential@snowyhydro.com.au,True
Operating ActivityOperating ActivityIdleReaders,Operating Activity,Operating Activity,Idle,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivityIdleAO Operating Activity,Operating Activity,Operating Activity,Idle,AO Operating Activity,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operatingactivity@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operatingactivity@snowyhydro.com.au,True
Operating ActivityOperating ActivityApproved,Operating Activity,Operating Activity,Approved,,Pu5DR2x6C1SasBULr8,NOTVISIBLE,NOPERMISSION,,Pi6VQAw4szhUcyHGpy,NOTVISIBLE,NOPERMISSION,,True
Operating ActivityOperating ActivityRejected,Operating Activity,Operating Activity,Rejected,,Pu5DR2x6C1SasBULr8,NOTVISIBLE,NOPERMISSION,,Pi6VQAw4szhUcyHGpy,NOTVISIBLE,NOPERMISSION,,True
Operating ActivityOperating ActivityArchivedReaders,Operating Activity,Operating Activity,Archived,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivityArchivedAO Administration,Operating Activity,Operating Activity,Archived,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivitySMCCReaders,Operating Activity,Operating Activity,SMCC,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivitySMCCAO Generation Operations,Operating Activity,Operating Activity,SMCC,AO Generation Operations,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-genop@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-genop@snowyhydro.com.au,True
Operating ActivityOperating ActivitySMCC OIAll SnowyHydro,Operating Activity,Operating Activity,SMCC OI,All SnowyHydro,Pu5DR2x6C1SasBULr8,GROUP,READER,allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivitySMCC OIReaders,Operating Activity,Operating Activity,SMCC OI,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivitySMCC OIAO Generation Operations,Operating Activity,Operating Activity,SMCC OI,AO Generation Operations,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-genop@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-genop@snowyhydro.com.au,True
Operating ActivityOperating ActivityDraft SMCC OIAO All Snowy Hydro,Operating Activity,Operating Activity,Draft SMCC OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,COMMENTER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,COMMENTER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivitySMCC OI Pending ApprovalReaders,Operating Activity,Operating Activity,SMCC OI Pending Approval,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivitySMCC OI Pending ApprovalSMCC OI Approver,Operating Activity,Operating Activity,SMCC OI Pending Approval,SMCC OI Approver,Pu5DR2x6C1SasBULr8,ROLE,WRITER,Q63ZeG0000001152u4,Pi6VQAw4szhUcyHGpy,ROLE,WRITER,SE7CTsR77BcFAY36Dv,False
Operating ActivityOperating ActivityUpper Tumut OI - Read OnlyAO All Snowy Hydro,Operating Activity,Operating Activity,Upper Tumut OI - Read Only,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityUpper Tumut OI - Read OnlyReaders,Operating Activity,Operating Activity,Upper Tumut OI - Read Only,Readers,Pu5DR2x6C1SasBULr8,ROLE,READER,READERS,,,,,False
Operating ActivityOperating ActivityUpper Tumut OI - Read OnlyAO Administration,Operating Activity,Operating Activity,Upper Tumut OI - Read Only,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityUpper Tumut OI - Under RevisionAO All Snowy Hydro,Operating Activity,Operating Activity,Upper Tumut OI - Under Revision,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
Operating ActivityOperating ActivityUpper Tumut OI - Under RevisionAO Operations UT,Operating Activity,Operating Activity,Upper Tumut OI - Under Revision,AO Operations UT,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-operationsut@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-operationsut@snowyhydro.com.au,True
Operating ActivityOperating ActivityUpper Tumut OI - Under RevisionAO Administration,Operating Activity,Operating Activity,Upper Tumut OI - Under Revision,AO Administration,Pu5DR2x6C1SasBULr8,GROUP,WRITER,ao-administration@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,WRITER,ao-administration@snowyhydro.com.au,True
Operating ActivityOperating ActivityLower Tumut OIAO All Snowy Hydro,Operating Activity,Operating Activity,Lower Tumut OI,AO All Snowy Hydro,Pu5DR2x6C1SasBULr8,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,Pi6VQAw4szhUcyHGpy,GROUP,READER,ao-allsnowyhydro@snowyhydro.com.au,True
